username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NewsNationTV;2017-09-20 09:31;3;5;"Many flights from #Delhi - #Mumbai cancelled/delayed due to bad weather and SpiceJet flight incident at Mumbai airport";;;#Delhi #Mumbai;"910353246379810816";https://twitter.com/NewsNationTV/status/910353246379810816
indiatvnews;2017-09-20 09:29;1;11;"Many flights from Delhi-Mumbai cancelled/delayed due to bad weather and #SpiceJet flight incident at Mumbai airport";;;#SpiceJet;"910352624574136321";https://twitter.com/indiatvnews/status/910352624574136321
mumbai24X7;2017-09-20 09:28;0;0;"@mumbai24x7 SpiceJet flight skids at Mumbai airport runway - The Hindu: The Hindu SpiceJet … https:// goo.gl/fb/VdzrcE";;@mumbai24x7;;"910352409330929664";https://twitter.com/mumbai24X7/status/910352409330929664
ANI;2017-09-20 09:28;18;42;"Many flights from Delhi-Mumbai cancelled/delayed due to bad weather and SpiceJet flight incident at Mumbai airport";;;;"910352343593517056";https://twitter.com/ANI/status/910352343593517056
iabhishekdshah;2017-09-20 09:16;0;1;"120 minute delay for a 45 minute flight . And information, only when asked. Have an award ceremony in Bangalore in 2 hours time. #spicejet";;;#spicejet;"910349407153016835";https://twitter.com/iabhishekdshah/status/910349407153016835
hashsurat;2017-09-20 09:06;0;0;"SpiceJet Surat-Delhi flight forced to land at Ahmedabad - Daily News & Analysis http:// ift.tt/2wwh2iq #Surat #SuratNews";;;#Surat #SuratNews;"910346878717452288";https://twitter.com/hashsurat/status/910346878717452288
aman_skp;2017-09-20 08:58;0;0;"Retweeted News18 ( @CNNnews18 ): #MumbaiRains - SpiceJet flight skids off the runway. All passengers are safe.... http:// fb.me/CvYITCde";;@CNNnews18;#MumbaiRains;"910344784027504640";https://twitter.com/aman_skp/status/910344784027504640
shashankS3007;2017-09-20 08:57;0;0;"#MumbaiRains - SpiceJet flight skids off the runway. All passengers are safe. pic.twitter.com/CBhoteowrk";;;#MumbaiRains;"910344694080688128";https://twitter.com/shashankS3007/status/910344694080688128
CNNnews18;2017-09-20 08:56;19;20;"#MumbaiRains - SpiceJet flight skids off the runway. All passengers are safe. pic.twitter.com/PcBMVXaNIw";;;#MumbaiRains;"910344433526226944";https://twitter.com/CNNnews18/status/910344433526226944
hashmumbai;2017-09-20 08:54;1;0;"" SpiceJet flight skids at Mumbai airport runway - The Hindu" http:// ift.tt/2xvUFZS #Mumbai #hashmumbai";;;#Mumbai #hashmumbai;"910343873410535424";https://twitter.com/hashmumbai/status/910343873410535424
JessieBottcher;2017-09-20 08:24;0;0;"SpiceJet Surat-Delhi flight forced to land at Ahmedabad - Daily News & Analysis http:// ift.tt/2yo7enQ";;;;"910336357486284801";https://twitter.com/JessieBottcher/status/910336357486284801
bhogleharsha;2017-09-20 08:22;12;216;"Lots more information on @jetairways . Suspect flight cancellation more to do with the SpiceJet aircraft that overshot the runway.";;@jetairways;;"910335811933003778";https://twitter.com/bhogleharsha/status/910335811933003778
AficionadoYash;2017-09-20 08:18;0;0;"SpiceJet Surat-Delhi flight forced to land at Ahmedabad";;;;"910334909776039936";https://twitter.com/AficionadoYash/status/910334909776039936
VisvyaMedia;2017-09-20 07:56;0;0;"#MumbaiAirport Compleate clip of SpiceJet flight overshoots Mumbai Airport runway, lands in mud http:// visvya.malayalamsearch.com/?url=https://w ww.youtube.com/watch?v=vj2WtO229MM … pic.twitter.com/7BqZmN48qN";;;#MumbaiAirport;"910329337311891456";https://twitter.com/VisvyaMedia/status/910329337311891456
sohafari;2017-09-20 07:50;0;0;"Bhakton Ki Kali Kamai Ki Hawai Co. Khaddey mey - SpiceJet flight overshoots Mumbai Airport runway, lands in mud";;;;"910327866352529408";https://twitter.com/sohafari/status/910327866352529408
Zee24Kalak;2017-09-20 07:40;1;0;"SpiceJet Flight Skids Off Runway at Mumbai Airport, Passengers Safe #ZEE24KALAK pic.twitter.com/DAD6uwQ3y0";;;#ZEE24KALAK;"910325364336889856";https://twitter.com/Zee24Kalak/status/910325364336889856
ranaalikash;2017-09-20 07:25;0;0;"A SpiceJet flight carrying 183 passengers skidded off the wet runway and got stuck in the mud at Mumbai airport la… http:// ift.tt/2xgRTWh pic.twitter.com/SDC2HNOtRM";;;;"910321500410073095";https://twitter.com/ranaalikash/status/910321500410073095
MonamiDG;2017-09-20 06:23;1;7;"A two hour flight turned into a 12+ hours flt. I saw evening, night, midnight, dawn, morning. Thanks Mumbai rain and SpiceJet for skidding!";;;;"910305950749175808";https://twitter.com/MonamiDG/status/910305950749175808
tuubol;2017-09-20 06:06;0;0;"SpiceJet flight overshoots Mumbai Airport runway, lands in mud - Economic Times http:// ift.tt/2xlkEm3 #IndiaNews";;;#IndiaNews;"910301603160260608";https://twitter.com/tuubol/status/910301603160260608
indianews101;2017-09-20 06:03;0;0;"TopNews: SpiceJet flight overshoots Mumbai Airport runway, lands in mud - Economic Times http:// ift.tt/2jIhAM6";;;;"910300772105060353";https://twitter.com/indianews101/status/910300772105060353
india_breaking;2017-09-20 06:02;0;0;"SpiceJet flight overshoots Mumbai Airport runway, lands in mud – Economic Times https:// indbreaking.wordpress.com/2017/09/20/spi cejet-flight-overshoots-mumbai-airport-runway-lands-in-mud-economic-times/ …";;;;"910300607122198528";https://twitter.com/india_breaking/status/910300607122198528
iamkhanshoeb;2017-09-20 05:43;0;0;"ALTERNATIVE AIRLINE..WE ARE STUCK ON AIRPORT SpiceJet PNR-EB8MGQEV8MGQ FLIGHT -SG456";;;;"910295943181828096";https://twitter.com/iamkhanshoeb/status/910295943181828096
iamkhanshoeb;2017-09-20 05:42;0;0;"@narendramodi @PMOIndia @flyspicejet @airnewsalerts SPICEJET SUX BIG TIME..DIVIATED ROUTE SpiceJet PNR-EB8MGQEV8MGQ FLIGHT -SG456";;@narendramodi @PMOIndia @flyspicejet @airnewsalerts;;"910295613236850688";https://twitter.com/iamkhanshoeb/status/910295613236850688
gtabassum;2017-09-20 05:18;0;0;"@makemytrip how can you issue ticket for a cancelled flight ?? #spicejet";;@makemytrip;#spicejet;"910289453641592832";https://twitter.com/gtabassum/status/910289453641592832
mumbai24X7;2017-09-20 04:52;0;0;"@mumbai24x7 SpiceJet flight overshoots Mumbai Airport runway, lands in mud - Economic Times… https:// goo.gl/fb/Dvf1cw";;@mumbai24x7;;"910283090987245569";https://twitter.com/mumbai24X7/status/910283090987245569
jaydeepkk;2017-09-20 04:52;0;0;"Thanx for the reply.. Spicejet has rescheduled me to a 12.55pm flight .. Does is stand a chance to leave today";;;;"910282991791828993";https://twitter.com/jaydeepkk/status/910282991791828993
newssummeduphq;2017-09-20 04:14;0;0;"SpiceJet flight overshoots Mumbai Airport runway, lands in mud http://www. newssummedup.com/a/p6945v";;;;"910273379474616320";https://twitter.com/newssummeduphq/status/910273379474616320
mumbai24X7;2017-09-20 03:39;0;0;"@mumbai24x7 SpiceJet flight overshoots Mumbai Airport runway, lands in mud - Economic Times… https:// goo.gl/fb/4vhpfk";;@mumbai24x7;;"910264571633504259";https://twitter.com/mumbai24X7/status/910264571633504259
Rajkol67;2017-09-20 03:34;0;0;"SpiceJet flight overshoots runway at Mumbai airport due to rains, gets stuck in mud http:// m.indiatoday.in/story/spicejet -mumbai-airport-rains-stuck-in-mud-mumbai-rains/1/1051693.html … via @indiatoday";;@indiatoday;;"910263384515289088";https://twitter.com/Rajkol67/status/910263384515289088
addyette;2017-09-20 03:08;0;0;"@DanaDelany stuck in Mumbai for 2nd night cause a Spicejet plane overshot the runway &our inbound flight had to divert. Monsoon season";;@DanaDelany;;"910256731967463424";https://twitter.com/addyette/status/910256731967463424
NOSONinc;2017-09-20 02:29;0;0;"SpiceJet flight overshoots Mumbai Airport runway, lands in mud - Economic Times http:// zpr.io/nPmSJ";;;;"910247064541507584";https://twitter.com/NOSONinc/status/910247064541507584
mumbai24X7;2017-09-20 02:29;0;0;"@mumbai24x7 SpiceJet flight overshoots Mumbai Airport runway, lands in mud - Economic Times… https:// goo.gl/fb/AKDYge";;@mumbai24x7;;"910246964314468357";https://twitter.com/mumbai24X7/status/910246964314468357
aviationtweeter;2017-09-20 02:23;0;0;"SpiceJet flight overshoots Mumbai Airport runway, lands in mud http:// ift.tt/2fhdQQs";;;;"910245362404864001";https://twitter.com/aviationtweeter/status/910245362404864001
wolfeblog;2017-09-20 02:05;1;0;"#alerts INDIA :: SpiceJet flight overshoots Mumbai Airport runway http:// dlvr.it/Pp635K #preppers";;;#alerts #preppers;"910240838340329473";https://twitter.com/wolfeblog/status/910240838340329473
MusafirNamah;2017-09-20 01:58;0;1;"SpiceJet flight overshoots runway at Mumbai airport http:// bit.ly/2xeFMZC #mumbaiairport #SpiceJet #Aviation #MumbaiRains";;;#mumbaiairport #SpiceJet #Aviation #MumbaiRains;"910239313979256832";https://twitter.com/MusafirNamah/status/910239313979256832
kgulechha;2017-09-20 01:54;0;0;"@CSIAMumbai hello, what is update on flight status ? All ok or some delays due to Spicejet incident / rains ?";;@CSIAMumbai;;"910238266233884673";https://twitter.com/kgulechha/status/910238266233884673
kgulechha;2017-09-20 01:53;0;0;"@MumbaiPolice any updates on airport sir ? Whether flight operations on or delayed due to Spicejet incident?";;@MumbaiPolice;;"910237915720114177";https://twitter.com/kgulechha/status/910237915720114177
afaaq_soomro;2017-09-20 01:42;0;0;"a spicejet flight overshot on landing at Mumbai airport.";;;;"910235187203772418";https://twitter.com/afaaq_soomro/status/910235187203772418
NewsStoryIndia;2017-09-20 01:26;0;0;"SpiceJet flight overshoots runway at Mumbai airport due to rains http:// ift.tt/2ynarUK";;;;"910231145127776256";https://twitter.com/NewsStoryIndia/status/910231145127776256
mumbai24X7;2017-09-20 01:18;0;0;"@mumbai24x7 SpiceJet flight overshoots Mumbai Airport runway, lands in mud - Economic Times… https:// goo.gl/fb/GPzXZK";;@mumbai24x7;;"910229159116509184";https://twitter.com/mumbai24X7/status/910229159116509184
mediat_biz;2017-09-20 01:11;0;0;"SpiceJet flight overshoots Mumbai Airport runway, lands in mud - Economic Times: Economic Times… https:// goo.gl/fb/FBm8hN India business";;;;"910227473429942273";https://twitter.com/mediat_biz/status/910227473429942273
mathewy;2017-09-20 00:50;0;0;"Main runway is closed due to a #spicejet flight which overshot the runway. https:// twitter.com/yashthe1/statu s/910221710997151745 …";;;#spicejet;"910222117953789952";https://twitter.com/mathewy/status/910222117953789952
ipramodsharma;2017-09-20 00:47;0;0;"Retweeted ANI ( @ANI ): #Visual SpiceJet flight overshot runway 27 on landing at Mumbai airport & skidded off into... http:// fb.me/1h9t2oJoX";;@ANI;#Visual;"910221442477826048";https://twitter.com/ipramodsharma/status/910221442477826048
mathewy;2017-09-20 00:45;0;0;"Just saw an update, main runway closed till 10.30 due to SpiceJet flight skid on the runway";;;;"910220791475785728";https://twitter.com/mathewy/status/910220791475785728
raveeshbhalla;2017-09-20 00:43;0;1;"Well, at least I wasn't on that SpiceJet flight . Also got to land in 2 new cities (and sleep in 1 new one)";;;;"910220383814541312";https://twitter.com/raveeshbhalla/status/910220383814541312
AjitGJoshi;2017-09-20 00:32;0;0;"Colleagues Bangalore Mumbai flight diverted to Goa #SpiceJet skid runway apparently #mumbairains";;;#SpiceJet #mumbairains;"910217499072794624";https://twitter.com/AjitGJoshi/status/910217499072794624
NewsStoryIndia;2017-09-20 00:22;0;0;"SpiceJet flight overshoots runway at Mumbai airport http:// ift.tt/2xeduOJ";;;;"910215044075573249";https://twitter.com/NewsStoryIndia/status/910215044075573249
jasonmascaris;2017-09-20 00:18;0;0;"Tragedy Averted For 183 Passengers as SpiceJet Flight Overshoots Runway at Mumbai Airport http:// ift.tt/2xfjpTP";;;;"910214013153370114";https://twitter.com/jasonmascaris/status/910214013153370114
MdRafatSiddiqui;2017-09-20 00:17;0;0;"Still shut as SpiceJet flight overshot the runway during landing. Stuck in mud as we speak https:// twitter.com/bloombergquint /status/910143068459851777 …";;;;"910213859910094848";https://twitter.com/MdRafatSiddiqui/status/910213859910094848
EntMirror;2017-09-20 00:15;0;0;"SpiceJet flight overshoots runway at Mumbai airport due to rains http:// ow.ly/Ai9Q50e8gpd";;;;"910213392794779648";https://twitter.com/EntMirror/status/910213392794779648
snottingcom;2017-09-20 00:15;0;0;"Tragedy Averted For 183 Passengers as SpiceJet Flight Overshoots Runway at Mumbai Airport http:// ift.tt/2xf0xEB !";;;;"910213303082856449";https://twitter.com/snottingcom/status/910213303082856449
anuragv9;2017-09-20 00:13;0;0;"Flight SG 487 delayed no uodates! Ppl holed up in the aircraft for 3.5 hrs!! SpiceJet gets #TooHot2handle";;;#TooHot2handle;"910212766517968896";https://twitter.com/anuragv9/status/910212766517968896
ranaalikash;2017-09-20 00:11;0;0;"Economic Times SpiceJet flight overshoots Mumbai Airport runway, lands in mudEconomic TimesMUMBAI: A SpiceJet air… http:// ift.tt/2xuQOfi pic.twitter.com/GZx8RlbB8Q";;;;"910212223359995906";https://twitter.com/ranaalikash/status/910212223359995906
mumbai24X7;2017-09-20 00:06;0;1;"@mumbai24x7 SpiceJet flight overshoots Mumbai Airport runway, lands in mud - Economic Times… https:// goo.gl/fb/EkBtRW";;@mumbai24x7;;"910211125723181056";https://twitter.com/mumbai24X7/status/910211125723181056
eurasiamap;2017-09-20 00:03;0;0;"Mumbai: All 183 passengers on the SpiceJet flight that overshot runway are safe https:// india.liveuamap.com/en/2017/19-sep tember-mumbai-all-183-passengers-on-the-spicejet-flight … via @ANI pic.twitter.com/8nC56aSgqc";;@ANI;;"910210180843016192";https://twitter.com/eurasiamap/status/910210180843016192
NowOrange;2017-09-20 00:02;0;0;"SpiceJet flight overshoots Mumbai Airport runway, lands in mud - Economic Times #News #India #Trending pic.twitter.com/I7LF9ondGB";;;#News #India #Trending;"910210083409289216";https://twitter.com/NowOrange/status/910210083409289216
AvtarGhumman;2017-09-20 00:01;0;0;"Worst airline I have ever come across. #SpiceJet . The staff does not know how to handle customers. Cancelled our flight SG159.";;;#SpiceJet;"910209828164820992";https://twitter.com/AvtarGhumman/status/910209828164820992
broandrewgrace;2017-09-20 00:01;0;0;"Spice Jet flight overshot runway on landing at Mumbai airport & got stuck in mud. Passengers safe #MumbaiRains #prayformumbai #SpiceJet";;;#MumbaiRains #prayformumbai #SpiceJet;"910209738490626048";https://twitter.com/broandrewgrace/status/910209738490626048
mediat_biz;2017-09-20 00:00;0;0;"SpiceJet flight overshoots Mumbai Airport runway, lands in mud - Economic Times: News Nation… https:// goo.gl/fb/RKzyjw India business";;;;"910209585977405441";https://twitter.com/mediat_biz/status/910209585977405441
IndiaIndiaNews;2017-09-19 23:57;0;0;"SpiceJet flight overshoots runway at Mumbai airport http:// ift.tt/2xeduOJ";;;;"910208714132590592";https://twitter.com/IndiaIndiaNews/status/910208714132590592
JessieBottcher;2017-09-19 23:55;0;0;"SpiceJet flight overshoots Mumbai Airport runway, lands in mud - Economic Times http:// ift.tt/2wvpT43";;;;"910208207989215233";https://twitter.com/JessieBottcher/status/910208207989215233
FlightBreaking;2017-09-19 23:52;6;4;"SpiceJet flight overshoots runway at Mumbai airport due to rains, gets stuck in mud http:// indiatoday.intoday.in/story/spicejet -mumbai-airport-rains-stuck-in-mud-mumbai-rains/1/1051693.html …";;;;"910207562607415297";https://twitter.com/FlightBreaking/status/910207562607415297
JourneysnBeyond;2017-09-19 23:48;0;0;"SpiceJet flight overshoots Mumbai Airport runway, lands in mud http:// m.economictimes.com/industry/trans portation/airlines-/-aviation/spicejet-flight-overshoots-mumbai-airport-runway-lands-in-mud/articleshow/60755834.cms?utm_source=AMPusers&utm_medium=twittershare&utm_campaign=socialsharebutton … #MyIndia";;;#MyIndia;"910206595849756672";https://twitter.com/JourneysnBeyond/status/910206595849756672
aviationsource;2017-09-19 23:47;0;0;"NEWS SpiceJet flight overshoots Mumbai Airport runway, lands in mud http:// aviation-source.com/2017/09/19/spi cejet-flight-overshoots-mumbai-airport-runway-lands-in-mud/ … pic.twitter.com/XfuN5Nere6";;;;"910206173844041729";https://twitter.com/aviationsource/status/910206173844041729
AskNitty;2017-09-19 23:44;2;3;"#MumbaiRains Expect delays to flight schedules late at Mumbai airport after Spicejet aircraft overshoots runway. No casualties";;;#MumbaiRains;"910205594065281024";https://twitter.com/AskNitty/status/910205594065281024
tv9gujarati;2017-09-19 23:43;2;2;"#UPDATE Mumbai: All 183 passengers on the SpiceJet flight that overshot runway are safe.";;;#UPDATE;"910205306935820288";https://twitter.com/tv9gujarati/status/910205306935820288
airportinfoblog;2017-09-19 23:43;0;0;"SpiceJet flight overshoots Mumbai Airport runway, lands in mud http:// ift.tt/2ybNq6j";;;;"910205251537575936";https://twitter.com/airportinfoblog/status/910205251537575936
tv9gujarati;2017-09-19 23:43;2;5;"SpiceJet flight overshot runway 27 on landing at Mumbai airport & skidded off into the unpaved surface due to wet runway. pic.twitter.com/tyyFqCExIP";;;;"910205209179074567";https://twitter.com/tv9gujarati/status/910205209179074567
easybranches;2017-09-19 23:41;0;0;"SpiceJet flight overshoots runway at Mumbai airport due to r #digitalmarketing #news #today http:// janj.eu/n/306567 via @Easy_Branches pic.twitter.com/klzLORYfSg";;@Easy_Branches;#digitalmarketing #news #today;"910204612443074561";https://twitter.com/easybranches/status/910204612443074561
Easy_Branches;2017-09-19 23:41;0;0;"SpiceJet flight overshoots runway at Mumbai airport due to r #digitalmarketing #news #today http:// janj.eu/n/306567 via @Easy_Branches pic.twitter.com/bvnUw5p0HF";;@Easy_Branches;#digitalmarketing #news #today;"910204605883133952";https://twitter.com/Easy_Branches/status/910204605883133952
mail_today;2017-09-19 23:36;10;12;"SpiceJet flight overshot runway on landing at Mumbai airport and got stuck in mud. Chutes deployed, all 183 passengers safe pic.twitter.com/SCRXD1ykPT";;;;"910203510196658176";https://twitter.com/mail_today/status/910203510196658176
ajaygandhi81;2017-09-19 23:33;0;0;"This is due to a SpiceJet flight skidding on the runway. Passengers are safe. Check SpiceJet handle.";;;;"910202627299749888";https://twitter.com/ajaygandhi81/status/910202627299749888
